part_number,part_name,supplier_id,supplier_name,lead_time_days,unit_cost
S-1147,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,13,$36.42
S-1148,Wooden Slat,SUP-001,Nordic Wood Industries,23,$45.32
S-1149,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,23,$30.77
S-1150,Wooden Slat,SUP-001,Nordic Wood Industries,14,$43.88
S-1151,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,27,$36.59
S-1152,Wooden Slat,SUP-001,Nordic Wood Industries,20,$44.92
S-1153,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,12,$13.86
S-1154,Wooden Slat,SUP-001,Nordic Wood Industries,6,$16.87
S-1155,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,14,$20.59
S-1156,Wooden Slat,SUP-001,Nordic Wood Industries,30,$7.89
S-1157,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,5,$46.57
S-1158,Wooden Slat,SUP-001,Nordic Wood Industries,7,$8.02
S-1159,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,15,$19.05
S-1160,Wooden Slat,SUP-001,Nordic Wood Industries,6,$30.87
S-1161,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,27,$22.88
